comment_id,video_id,text,like_count,published_at,sentiment_score,sentiment_label
UgzphKn0fFfcKYzpuh54AaABAg,AC6u5Y0Ugp0,Wow 2 non Christians talking about Jesus and the bible,253,2025-12-26T18:03:28Z,0.5859,positive
UgxzpFNLHkFfIylgAAh4AaABAg,AC6u5Y0Ugp0,"The Jesus Prayer,
21:30
""Lord Jesus Christ, son of God, have mercy on me, a sinner.""",52,2025-12-26T19:23:54Z,0.5574,positive
Ugy3haJh-Wy5jXf2Uz54AaABAg,AC6u5Y0Ugp0,Why would you have someone that doesn’t believe in God lead the Bible study?,41,2025-12-31T14:05:36Z,0.2732,positive
Ugya1VNwn6PfGwN4Pcl4AaABAg,r4Cig58bsr8,"I love how Megyn Kelly went from not knowing what Candace had been saying, wasn't friend's with her, and didn't know her, to her and Candace getting closer for the last couple of months.",2519,2025-12-19T18:11:07Z,0.6369,positive
UgyhMSkBJS2O6cO5fod4AaABAg,r4Cig58bsr8,"“Peace if possible, truth at all costs.” - Martin Luther",1117,2025-12-21T02:19:01Z,0.3182,positive
UgyTe8sM4huF47xN5ip4AaABAg,r4Cig58bsr8,The conservative movement have some serious Trojan horses inside. It’s dangerous.,931,2025-12-21T22:01:05Z,-0.5267,negative
Ugw7rUNv96gJTGiPVgN4AaABAg,CU6ON6aUrn0,They are talking about regulating firearms but refuse to regulate migration...,1404,2025-12-15T18:33:51Z,-0.4215,negative
Ugz8naJ48AZBNb8VGhV4AaABAg,CU6ON6aUrn0,This is what “globalize the intifada” looks like,1016,2025-12-15T18:41:09Z,0.3612,positive
UgyC1aFS1uCw61ZOxwV4AaABAg,CU6ON6aUrn0,"The Australian PM is absolutly full of sh1t, correct Ben",773,2025-12-15T18:51:31Z,0.0,neutral
UgxAl4VdIex04f8PDHN4AaABAg,P3cBbwd6Dos,I believe that anybody that voted for him should not be able to move out of nyc,438,2025-11-05T23:13:17Z,0.0,neutral
Ugz69g5TNyAcv1flG2t4AaABAg,P3cBbwd6Dos,To the 51% of New Yorkers that voted for this. You sit there and enjoy the mess you created.,399,2025-11-05T20:26:43Z,0.4019,positive
